country,count
USA,4872
UK,698
France,283
Canada,150
Germany,134
Australia,82
Japan,68
Spain,56
Italy,51
Ireland,44
Hong Kong,39
India,39
Denmark,33
China,24
South Korea,20
Belgium,18
Sweden,18
New Zealand,18
Mexico,15
Argentina,13
Iran,12
Netherlands,12
Russia,10
South Africa,9
Czech Republic,8
Norway,8
Taiwan,8
Hungary,7
Switzerland,6
Brazil,6
Austria,6
Israel,5
Romania,5
Greece,5
Chile,4
West Germany,4
Finland,3
Thailand,3
Peru,2
Colombia,2
Portugal,2
Poland,2
Indonesia,2
Aruba,1
Jamaica,1
Bahamas,1
Malta,1
Iceland,1
Cuba,1
Federal Republic of Yugoslavia,1
Kenya,1
Soviet Union,1
Panama,1
Palestine,1
Saudi Arabia,1
Ukraine,1
Republic of Macedonia,1
